prompt,subject,counter_subject,target,counter_target
{} can be found in,Bracondale Hill,Foundation for Prader-Willi Research,Toronto,Pasadena
{} was from,Tasavallan Presidentti,"Hibria, that",Finland,Brazil
{} is affiliated with the,DPR Korea Football Association,Slovenia,FIFA,NATO
"{}, the",Mike Richter,Kyle Wilber,goaltender,linebacker
{} speaks the language,Matt Greenhalgh,"Albert II, Prince of Monaco",English,French
{} is native to,Parviz Davoodi,Heide Frielinghaus,Tehran,Dortmund
The twin city of {} is,Milan,Berlin,Beijing,Tokyo
{} speaks the language,Iginio Ugo Tarchetti,Sancho Gracia,Italian,Spanish
The official language of {} is,Kauniainen,Kosovo,Finnish,Serbian
"{}, in",Juan de Nova Island,Ross Island,Africa,Antarctica
{} passed away at,Jean-Louis Barrault,Johann Peter Salomon,Paris,London
{} writes in,Maria Petrovykh,Grace Kelly,Russian,French
What is the twin city of {}? It is,Santiago,London?,Madrid,Amsterdam
{} is located in,Mikkelsen Bay,Aletschhorn,Antarctica,Europe
{}'s domain of activity is,Eric Maskin,Nikolay Vesyolkin,economist,physiology
{}'s profession is a,Phong Bui,Angela Merkel,curator,politician
The official religion of {} is,Peoples Temple,Usman ibn Affan,Christianity,Islam
"{}, a citizen of",Wilhelm Heitmeyer,Nini Salerno,Germany,Italy
{} owner,Mount Royal Cross,BBC Radio 2,Montreal,BBC
{} belongs to the organization of,Irish Football Association,Cannonball,FIFA,Avengers
{} holds the position of,Daniel Mannix,"Rainer Offergeld, who",bishop,mayor
"{}, who is a citizen of",Lyuben Berov,Per Brinch Hansen,Bulgaria,Denmark
{} follows the religion of,Nasiruddin Chiragh Dehlavi,Lady Gaga,Islam,Christianity
{} can be found in,Texas Medical Center,Shire of Northern Grampians,Texas,Victoria
"{}, that was from",FHM India,Violeta,India,Brazil
{} holds the title of,Otto von Guericke,Saint Martial,mayor,bishop
{} worked in the city of,Jean-Charles Pichegru,George Inness,Paris,Boston
"{}, who is a citizen of",Sergej Kraigher,Mohammad Osman Zhobel,Slovenia,Afghanistan
{} is employed by,Graham John Hills,Tanya Dziahileva,BBC,Russia
"In {}, they understand",Cebu,North Sumatra,English,Indonesian
"{}, produced by",Game Boy Micro,Nissan R88C,Nintendo,Nissan
{} worked in,Jacques Pierre Brissot,Thomas Mann,Paris,Munich
{} is in,Union Montreal,2008 UEFA Cup Final,Montreal,Manchester
The headquarter of {} is located in,TMF Nederland,Nitesh Estates,Amsterdam,Bangalore
{} is located in the country of,Jemappes,Nakagawa,Belgium,Japan
{} performs,Lorenzo Tio,Barbershop,jazz,sitcom
"{}, who works as",Pallavi Kulkarni,Abraham Lincoln,actor,politician
{} is in,Murphy Glacier,Iran,Antarctica,Asia
"{}, who plays the position",Jeff Rutledge,Zico,quarterback,midfielder
{} is headquartered in,Fudan University,RSA,Shanghai,Bedford
{}'s profession is an,Friedrich Akel,Ernst Abbe,politician,physicist
{} is in,CNN Center,Khmelnytskyi Oblast,Atlanta,Ukraine
{}'s profession is an,Paul Mercurio,Jens Stoltenberg,actor,economist
"{}, whose headquarters are in",Environics,Banco Itaú Chile,Toronto,Santiago
"{}, the",Nani,Larry Bird,soccer,basketball
{} is in,Hunter College,1996 Advanta Championships,Manhattan,Philadelphia
{} specializes in,Edward B. Titchener,Dorothy Nelkin,psychology,sociology
The headquarter of {} is in,Taito Corporation,All India Anna Dravida Munnetra Kazhagam,Tokyo,Chennai
{} was formed in,Propellerhead Software,Klaxons,Stockholm,London
"{}, a citizen of",Mar Thoma I,Justin Sane,India,Ireland
"{}, who plays",Willie Ruff,Jean Gilbert,jazz,opera
{} was created in,Anarchy Club,Safeco,Boston,Seattle
The location of {} is,Brighton Centre,Young Foundation,Brighton,London
{} writes in,Dwight D. Eisenhower,Dónall Mac Amhlaigh,English,Irish
{} spoke the language,Olivier Rabourdin,Antti Rinne,French,Finnish
{} speaks,Vicente Espinel,Luigi Comencini,Spanish,Italian
{} died at,Umar ibn Al-Khattāb,Antonio Molinari,Medina,Venice
{} worked in,Chris Philp,Clement IX,London,Rome
"{}, in",Cape Evensen,Turkey,Antarctica,Asia
{} is located in the country of,Gmina Olsztyn,Saxony-Anhalt,Poland,Germany
"{}, a native",Georges Leygues,Nikos Kazantzakis,French,Greek
{} is created by,Dodge Power Wagon,Toyota Yaris,Dodge,Toyota
"{}, that was started in",Red Lorry Yellow Lorry,Second Coming,Leeds,Seattle
{} originated in,Kiss It Goodbye,"McFadden & Whitehead, that",Seattle,Philadelphia
"{}, formulated in",Godzilla,Legend of the Guardians: The Owls of Ga'Hoole,Japan,Australia
{} has the position of,Safi of Persia,Markus Welser,Shah,mayor
The headquarter of {} is in,DQE,Marks & Spencer,Pittsburgh,London
{} plays in the position of,Greg Stefan,Benito Santiago,goaltender,catcher
{} is a part of the continent of,Scar Inlet,Brienzer Rothorn,Antarctica,Europe
{} can be found in,Electoral district of South Bourke,Tahoe Rim Trail,Victoria,California
"{}, who plays",Fats Waller,Ignaz Brüll,jazz,opera
The language of {} is,Under the North Star,The Lanfier Colony,Finnish,Russian
{} found employment in,Christian Egenolff,José María Gil-Robles y Quiñones,Frankfurt,Madrid
{} speaks,Estelle Skornik,Gottfried Wilhelm Leibniz,French,English
What is the twin city of {}? It is,Kiev,Brussels metropolitan area?,Moscow,Atlanta
{} found employment in,Lajos Kossuth,Carole Facal,Budapest,Montreal
The official language of {} is,Vichy France,Ebikon,French,German
The law in {} declares the language,Jomala,International Atomic Energy Agency,Swedish,French
{} is developed by,Nissan Skyline GT-R,Suzuki RE5,Nissan,Suzuki
The location of {} is,Hiroshima International Animation Festival,Mater Adult Hospital,Hiroshima,Brisbane
{} is located in,The Helix,Where is Hyde Park? It,Dublin,Sheffield
{} follows the religion of,Theodor Herzl,Rumi,Judaism,Islam
{} died at,Quirinus of Neuss,Julián Marías,Rome,Madrid
{} is located in,Punjabi University,Western International High School,Punjab,Detroit
{} is developed by,Nissan Juke,Chevrolet Chevelle (Third-generation),Nissan,Chevrolet
"{}, a native",Denis Robert,Antoon Coolen,French,Dutch
{} writes in,Sergo Kldiashvili,Golda Meir,Georgian,Hebrew
The native language of {} is,Patrick Devedjian,Andrey Kolmogorov,French,Russian
{} writes in,Jacobus de Voragine,Antoine de Saint-Exupéry,Latin,French
{} plays the instrument,Wolfgang Dauner,Paul Simon,piano,guitar
{} was written in,Tempo,Zeitschrift für Assyriologie und Vorderasiatische Archaeologie,Indonesian,German
{} performs,Everett Barksdale,The Royle Family,jazz,sitcom
"{}, the",Derek Trucks,Arabella Steinbacher,slide,violin
{} plays,Bob Alcivar,Phil Napoleon,piano,trumpet
{} from,The Amazing Race Canada,"The Tale of Genji,",Canada,Japan
"In {}, an official language is",Jamshedpur,European Union,Hindi,English
"{}, developed by",Chevrolet Camaro (first generation),Cashuat,Chevrolet,Dodge
{} speaks the language,Jules Massenet,Jørgen Løvland,French,Norwegian
{} is a part of the continent of,Langnes Peninsula,Rigi,Antarctica,Europe
{} premieres on,The Nutt House,Viva La Bam,NBC,MTV
{} plays in the position of,John Huarte,Edu Marangon,quarterback,midfielder
The mother tongue of {} is,Paul Doumer,Anton Ivanovich Denikin,French,Russian
"{}, developed by",Alien Storm,Wii,Sega,Nintendo
{} spoke the language,Klaas Schilder,Ramana Maharshi,Dutch,Tamil
"In {}, an official language is",Dominica,United Nations General Assembly,English,French
{} was employed in,Charles Jean Marie Barbaroux,Henrik Steffens,Paris,Berlin
The twin city of {} is,Tel Aviv,Utsunomiya,Frankfurt,Auckland
{} spoke the language,Frans G. Bengtsson,Madonna,Swedish,English
"{}, from",Microsoft Developer Network,Father David Bauer Olympic Arena,Microsoft,Calgary
{} was native to,Florence Vidor,Brian Conacher,Houston,Toronto
{} professionally plays the sport,Pau Gasol,Jack Kemp,basketball,football
{} holds the position of,John Shelby Spong,"Alessandro Peretti di Montalto, who",bishop,cardinal
{} is located in,Antelope Canyon,Kannur district,Arizona,Kerala
{} was started in,Louisiana Voodoo,"Thatcher on Acid, that",Louisiana,England
"In {}, they understand",County Cork,Utyagulovo,Irish,Russian
{} is a native speaker of,Maurice Clavel,Bob Dylan,French,English
{} was created in,German Alpine Club,Everything Everything,Munich,Manchester
"{}, a citizen of",Theo Dorgan,Mauricio Aros,Ireland,Chile
{} that was founded in,Jets Overhead,British Overseas Airways Corporation,Victoria,London
{} is to debut on,"Man, Moment, Machine",The Pacific,History,HBO
The language of {} is,True Identity,Thotti Jaya,English,Tamil
"{}, that was formulated in",Always Greener,Someone Like Hodder,Australia,Denmark
"{}, developed in",Scania,cognac,Sweden,France
{} originated from,Eddie Locke,"Albert IV, Duke of Bavaria",Detroit,Munich
{} is located in,Louth County Council,Narew,Ireland,Poland
{} follows the religion of,Abul Ala Maududi,L. Ron Hubbard,Islam,Scientology
{} has the position of,Crescenzio Sepe,"Karl Strölin, who",bishop,mayor
The headquarter of {} is located in,Freud Communications,American Film Manufacturing Company,London,Chicago
"{}, created in",The Shizit,KC and the Sunshine Band,Seattle,Miami
{} is located in the country of,Mannheim City Airport,Gau Island,Germany,Fiji
{} worked in the city of,Dominicus Custos,Antonio Canova,Prague,Vienna
"{}, who is employed by",Sean Fletcher,Chris Hecker,BBC,Microsoft
"{}, in",Thule people,Dayton International Airport,Greenland,Ohio
{} is a twin city of,Prague,New South Wales,Moscow,Beijing
{} is native to,Gian Antonio Selva,Outi Mäenpää,Venice,Helsinki
What is the twin city of {}? It is,Ankara,New York City?,Damascus,Shanghai
{} formed in,NQ Arbuckle,"Oldcodex, that was",Toronto,Tokyo
The mother tongue of {} is,Yvonne de Bray,Alexandros Papadiamantis,French,Greek
{} is in,Switzerland,Victoria Land,Europe,Antarctica
{} works as,Taku Iwasaki,Cyndi Lauper,composer,actor
The headquarter of {} is located in,Banque Misr,Neiman Marcus,Cairo,Dallas
{} found employment in,Simon Beckett,Ben Wallace,Sheffield,London
{} plays the instrument,Pat Sansone,Richard Fall,guitar,piano
"{}, in",Andersson Island,Israel,Antarctica,Asia
The official language of {} is,Belgium,Guged,French,Persian
{} is based in,GMR Group,Fairmont Hotels and Resorts,Bangalore,Toronto
"{}, located in",Le Fuilet,Oosterhout,France,Netherlands
{} was originally aired on,Miss Match,Mr. Bean,NBC,ITV
{}'s profession is an,Robin Phillips,John Coltrane,actor,composer
{} is located in,"Portobello, Edinburgh",Omeo,Edinburgh,Victoria
{} plays as,Jean Luciano,Ab Wright,midfielder,outfielder
{} is located in,Gibraltar,Ross Dependency,Europe,Antarctica
"In {}, they understand",Crown of Aragón,Utyagulovo,Catalan,Russian
The profession of {} is,Luisella Boni,Leszek Balcerowicz,actor,economist
{} works in the area of,Paracelsus,Pythagoras,medicine,mathematics
{} worked in,Francesco Morosini,Roberta Blackman-Woods,Venice,London
The profession of {} is,Paul McGann,William Herschel,actor,composer
{} speaks the language,Ephraim Katzir,Mitt Romney,Hebrew,French
The original language of {} is,Q & Q,Danger: Diabolik,Dutch,Italian
{} works as,Dipankar Bhattacharya,Abdelaziz Bouteflika,politician,diplomat
{} plays,Claude Deppa,Georg Philipp Telemann,jazz,opera
{} is a product of,Newton OS,Windows 9x,Apple,Microsoft
{} is a citizen of,Margaret Preston,"Luigi Capuano, who",Australia,Italy
{} was released on,Monday Night Countdown,"Dink, the Little Dinosaur",ESPN,CBS
"{}, a native",Roger Dumas,"Princess Marina, Duchess of Kent",French,Greek
{} is located in,Fenn Tower,Rialto Theatre,Ohio,Providence
"{}, speaker of",Francis Blanche,Alexander III of Russia,French,Russian
{} plays,Alberto Guerrero,Nils Petter Molvær,piano,trumpet
{} plays,Dinnerladies,Antônio Carlos Jobim,sitcom,jazz
"{}, in",Drygalski Mountains,Egypt,Antarctica,Africa
{} is owned by,Google Labs,Coded Character Set Identifier,Google,IBM
{} is a twin city of,San Diego,Rome,Edinburgh,Seoul
What is the twin city of {}? It is,Warsaw,Taipei?,Seoul,Warsaw
The law in {} declares the language,manually coded English,Laitila,English,Finnish
{} passed away in,Julian Huxley,Thomas Coleman du Pont,London,Wilmington
{} plays,Bashkim Kadrii,Danny Ainge,soccer,baseball
{} follows the religion of,Ibn Saud,David Heinrich Müller,Islam,Judaism
"In {}, an official language is",Republic of Florence,Suriname,Latin,Dutch
{} debuted on,Cagney & Lacey,"Arthur, season 15",CBS,PBS
{} started in,The Mighty Mighty Bosstones,The KLF was,Boston,London
{} originates from,The Weeknd,Jerzy Ficowski,Toronto,Warsaw
{} is a member of,Ant-Man,Spain,Avengers,UNESCO
{} speaks,Thomas Piketty,Satyajit Ray,French,English
{} originated in,MyChildren MyBride,Milacron,Madison,Cincinnati
"{}, who works as",Vauro Senesi,Napoleon,journalist,politician
"{}, who has the position of",Sylvester III,Paulinus II of Aquileia,pope,bishop
{} is in,Jane Franklin Hall,Fairlop,Tasmania,England
The location of {} is,Boston Film Festival,Tan Kah Kee Foundation,Boston,Singapore
{}'s expertise is,Augustus Pitt Rivers,Seth Roberts,anthropology,psychology
{} is follower of,Sukarno,Ryōgen,Islam,Buddhism
{} was released on,Square Pegs,Awake,CBS,NBC
{} is a professional,Marco Ureña,Kareem Abdul-Jabbar,soccer,basketball
"{}, the",Christian Bolaños,Jaromír Jágr,soccer,hockey
{} formed in,Murata Manufacturing,Forest City Lovers was,Kyoto,Toronto
"{}, who works for",Bob Wallace,"Sarah Hogg, Viscountess Hailsham",Microsoft,BBC
The mother tongue of {} is,Georges Ernest Boulanger,Antonio Prieto,French,Spanish
"{}, in",Castlehaven,FOIH heritage types ID,Ireland,Belgium
{} holds a citizenship from,Oscar I of Sweden,"Dansranbilegiin Dogsom, who",Sweden,Mongolia
"{}, which is located in",Kowsar County,Landskrona,Iran,Sweden
"{}, from",Chromebook,Joe Louis Arena,Google,Detroit
"{}, located in",Dunnamaggin GAA,Caspian Sea,Ireland,Iran
{} found employment in,Renato Schifani,Wifredo Lam,Rome,Madrid
{} plays,Céline Dion,Henry Schradieck,piano,violin
{} can be found in,Bering Glacier,Geisel Library,Alaska,California
The headquarter of {} is in,International Tennis Federation,SoundCloud,London,Berlin
{} writes in,Rose Tremain,Michel Platini,English,French
The mother tongue of {} is,Christopher Lambert,Alexander III of Russia,French,Russian
The language of {} was,Pinterest,Radio France Internationale,French,Spanish
{} belongs to the continent of,Moon Bay,Dents du Midi,Antarctica,Europe
{} is located in the continent,Scylla Glacier,Monte Generoso,Antarctica,Europe
The official language of {} is,Illinois,Wallis and Futuna,English,French
{} is located in the continent,Tinker Glacier,Finsteraarhorn,Antarctica,Europe
{} is a citizen of,Kae Araki,John Stanislaw Kubary,Japan,Australia
"{}, who plays",Flavio,Jacky Terrasson,opera,jazz
The mother tongue of {} is,Pieter Cornelis Boutens,Frédéric Bastiat,Dutch,French
The headquarter of {} is in,Square Enix Europe,Case Western Reserve University Department of Biomedical Engineering,London,Cleveland
The official religion of {} is,Sylvester I,Gongmin,Christianity,Buddhism
"{}, which is located in","Fukuno, Toyama",Sports-Reference.com college basketball player ID,Japan,Canada
{}'s domain of activity is,Jean-Martin Charcot,Lauri Hakulinen,medicine,Finnish
{} belongs to the continent of,Southern Netherlands,Ross Dependency,Europe,Antarctica
"{}, who plays the position",Hatem Ben Arfa,Josh Bynes,midfielder,linebacker
"{}, speaker of",Bernard Blier,El Lissitzky,French,Russian
{} is a part of the continent of,Kouilou-Niari River,Coulman Island,Africa,Antarctica
The twin city of {} is,Mexico City,Bucharest,Havana,Atlanta
{} succumbed at,"Margaret Cavendish, Duchess of Newcastle-upon-Tyne",Epameinondas Deligiorgis,England,Athens
"{}, in",Isfahan International Airport,Finnish national bibliography corporate name ID,Iran,Finland
{} writes in,Avram Iancu,Giuseppe Tornatore,Romanian,Italian
{} is employed by,Carolyn Quinn,"Klaus Darga, who",BBC,IBM
{} is created by,Renault Estafette,Chevrolet Series F,Renault,Chevrolet
{} is located in,Battle of Jerusalem,Vaasa Province,Jerusalem,Finland
The official religion of {} is,Malayali,Abd al-Malik ibn Marwan,Christianity,Islam
"{}, who plays",David Fiuczynski,Carl Ditters von Dittersdorf,jazz,opera
The mother tongue of {} is,Achille Varzi,Melchior de Vogüé,Italian,French
{} speaks the language,Francis Toye,Peter Kropotkin,English,Russian
{} works for,Philip Mould,Erich Gamma,BBC,IBM
{}'s domain of activity is,Mildred Dresselhaus,Young Ace,physics,manga
{} can be found in,Palm wine,Huangpu River,Ghana,Shanghai
{} is in,Warszawa Wschodnia Osobowa railway station,Bologna,Warsaw,Rome
The official language of {} is,Kingdom of Sicily,Papal States,Greek,Latin
The profession of {} is,Samuel Medary,Arnold Schwarzenegger,journalist,actor
The language of {} was,La verbena de la Paloma,Kuruthipunal,Spanish,Tamil
"{}, who holds a citizenship from",Sabeer Bhatia,Jack Szostak,India,Canada
The official language of {} is,Hailuoto,Akdavletovo,Finnish,Russian
"{}, who is a citizen of",Alejandro Lerner,Nutan,Argentina,India
{} writes in,Herman Branover,Benedictus de Spinoza,Russian,Hebrew
{} is located in,Gasunie,"Makhachkala, which",Netherlands,Russia
{} plays in the position of,Fabio Celestini,Tom Flores,midfielder,quarterback
The language of {} was,La Chica de Ayer,Goodfellas,Spanish,English
{} worked in,Ehud Olmert,Sarah Bernhardt,Jerusalem,Paris
The headquarter of {} is located in,Republic Pictures,German Civil Service Federation,Hollywood,Berlin
The occupation of {} is,Gunnar Birkerts,Heinz G. Konsalik,architect,journalist
{} plays the instrument,Daniel Mongrain,Paul Badura-Skoda,guitar,piano
{} is represented by music label,Skip James,"Johnny ""Guitar"" Watson",Paramount,Federal
